"Industry","Market Cap","U.S. Stock Count"
"Semiconductors","$2,618,223,580,422","67"
"Shell Companies","$159,030,501,014","750"
"Silver","$9,256,941,655","7"
"Software-Application","$66,519,029","1"
"Software—Application","$1,484,263,864,171","254"
"Software—Infrastructure","$3,177,763,967,917","135"
"Solar","$87,404,920,618","20"
"Specialty Business Services","$144,770,908,701","38"
"Specialty Chemicals","$474,315,754,153","54"
"Specialty Industrial Machinery","$996,172,683,746","82"
"Specialty Retail","$275,187,896,723","56"
"Staffing & Employment Services","$170,756,888,755","29"
"Steel","$166,880,940,762","23"
"Telecom Services","$936,320,637,239","63"
"Textile Manufacturing","$3,019,687,228","5"
"Thermal Coal","$11,109,446,567","8"
"Tobacco","$302,317,076,821","9"
"Tools & Accessories","$62,142,440,375","14"
"Travel Services","$174,114,141,711","14"
"Trucking","$75,178,006,497","20"
"Uranium","$15,849,680,387","8"
"Utilities—Diversified","$311,281,498,024","23"
"Utilities—Independent Power Producers","$20,957,345,967","5"
"Utilities—Regulated Electric","$732,126,644,698","35"
"Utilities—Regulated Gas","$77,162,987,001","13"
"Utilities—Regulated Water","$57,504,918,849","16"
"Utilities—Renewable","$75,969,278,718","22"
"Waste Management","$164,881,446,850","18"
